image;label
../data/modeling/renault/renault_koleos_gris_46.jpg;1
../data/modeling/other/07685.jpg;0
../data/modeling/other/05516.jpg;0
../data/modeling/renault/renault_captur_gris_20.jpg;1
../data/modeling/renault/renault_kadjar_gris_19.jpg;1
../data/modeling/renault/renault_scenic_67.jpg;1
../data/modeling/renault/renault_fluence_6.jpg;1
../data/modeling/renault/renault_megane_55.jpg;1
../data/modeling/renault/renault_wing_sport_19.jpg;1
../data/modeling/renault/renault_koleos_noir_69.jpg;1
../data/modeling/renault/renault_captur_gris_74.jpg;1
../data/modeling/renault/renault_laguna_noir_18.jpg;1
../data/modeling/other/05200.jpg;0
../data/modeling/other/06636.jpg;0
../data/modeling/other/07585.jpg;0
../data/modeling/renault/renault_scenic_45.jpg;1
../data/modeling/other/07950.jpg;0
../data/modeling/renault/renault_twingo3_19.jpg;1
../data/modeling/renault/renault_wind_noir_64.jpg;1
../data/modeling/renault/renault_wind_rouge_27.jpg;1
../data/modeling/renault/renault_scenic_43.jpg;1
../data/modeling/renault/renault_clio_trophy_37.jpg;1
../data/modeling/renault/renault_kadjar_bleu_58.jpg;1
../data/modeling/other/00084.jpg;0
../data/modeling/renault/renault_kangoo_blanc_82.jpg;1
../data/modeling/renault/renault_twingo_rs_80.jpg;1
../data/modeling/renault/renault_clio_noire_82.jpg;1
../data/modeling/other/mercedes_class_e_33.jpg;0
../data/modeling/other/05512.jpg;0
../data/modeling/other/05235.jpg;0
../data/modeling/renault/renault_r5_turbo2_10.jpg;1
../data/modeling/other/07709.jpg;0
../data/modeling/other/05106.jpg;0
../data/modeling/other/bmw_serie1_52.jpg;0
../data/modeling/other/02888.jpg;0
../data/modeling/other/05463.jpg;0
../data/modeling/other/toyota_yaris_63.jpg;0
../data/modeling/renault/renault_captur_44.jpg;1
../data/modeling/renault/renault_laguna_gris_44.jpg;1
../data/modeling/other/range_rover_32.jpg;0
../data/modeling/renault/renault_r5_turbo2_12.jpg;1
../data/modeling/other/05963.jpg;0
../data/modeling/other/06402.jpg;0
../data/modeling/renault/renault_logan_gris_94.jpg;1
../data/modeling/renault/renault_captur_orange_1.jpg;1
../data/modeling/other/bmw_x4_59.jpg;0
../data/modeling/other/vw_passat_58.jpg;0
../data/modeling/other/00634.jpg;0
../data/modeling/other/06656.jpg;0
../data/modeling/other/06558.jpg;0
../data/modeling/renault/renault_megane_30.jpg;1
../data/modeling/other/07540.jpg;0
../data/modeling/other/00649.jpg;0
../data/modeling/other/citroen_ds3_36.jpg;0
../data/modeling/renault/renault_pulse_noir_27.jpg;1
../data/modeling/other/06962.jpg;0
../data/modeling/other/05413.jpg;0
../data/modeling/renault/renault_pulse_noir_4.jpg;1
../data/modeling/renault/renault_megane_rs_43.jpg;1
../data/modeling/other/05597.jpg;0
../data/modeling/renault/renault_wind_bleu_73.jpg;1
../data/modeling/renault/renault_pulse_jaune_54.jpg;1
../data/modeling/renault/renault_megane_43.jpg;1
../data/modeling/other/00436.jpg;0
../data/modeling/renault/renault_koleos_blanc_59.jpg;1
../data/modeling/other/06433.jpg;0
../data/modeling/renault/renault_twingo_rs_27.jpg;1
../data/modeling/renault/renault_koleos_gris_67.jpg;1
../data/modeling/renault/renault_wind_gris_13.jpg;1
../data/modeling/other/06477.jpg;0
../data/modeling/other/05629.jpg;0
../data/modeling/renault/renault_koleos_77.jpg;1
../data/modeling/renault/renault_twingo3_88.jpg;1
../data/modeling/renault/renault_clio_v6_50.jpg;1
../data/modeling/renault/renault_kadjar_9.jpg;1
../data/modeling/renault/renault_espace_initial_82.jpg;1
../data/modeling/other/vw_golf_18.jpg;0
../data/modeling/other/fiat_500_22.jpg;0
../data/modeling/renault/renault_clio_noire_35.jpg;1
../data/modeling/renault/renault_laguna_29.jpg;1
../data/modeling/renault/renault_espace_bleu_32.jpg;1
../data/modeling/other/07864.jpg;0
../data/modeling/renault/renault_captur_gris_12.jpg;1
../data/modeling/other/ford_focus_27.jpg;0
../data/modeling/renault/renault_clio_v6_31.jpg;1
../data/modeling/renault/renault_clio_rs_83.jpg;1
../data/modeling/other/06215.jpg;0
../data/modeling/other/00570.jpg;0
../data/modeling/other/07026.jpg;0
../data/modeling/other/07513.jpg;0
../data/modeling/other/citroen_picasso_13.jpg;0
../data/modeling/other/06225.jpg;0
../data/modeling/renault/renault_clio_noire_64.jpg;1
../data/modeling/other/peugeot_108_9.jpg;0
../data/modeling/renault/renault_megane_trophy_10.jpg;1
../data/modeling/other/audi_a4_39.jpg;0
../data/modeling/renault/renault_twingo_gt_41.jpg;1
../data/modeling/other/mercedes_class_e_28.jpg;0
../data/modeling/other/07633.jpg;0
../data/modeling/renault/renault_koleos_gris_43.jpg;1
../data/modeling/renault/renault_megane_bleue_73.jpg;1
../data/modeling/other/ford_focus_52.jpg;0
../data/modeling/other/08067.jpg;0
../data/modeling/renault/renault_megane_bleue_62.jpg;1
../data/modeling/renault/renault_zoe_8.jpg;1
../data/modeling/other/bmw_x4_28.jpg;0
../data/modeling/renault/renault_pulse_noir_33.jpg;1
../data/modeling/renault/renault_alaskan_20.jpg;1
../data/modeling/other/toyota_yaris_22.jpg;0
../data/modeling/other/bmw_serie1_58.jpg;0
../data/modeling/renault/renault_fluence_52.jpg;1
../data/modeling/other/06038.jpg;0
../data/modeling/other/ford_focus_5.jpg;0
../data/modeling/renault/renault_twingo3_8.jpg;1
../data/modeling/other/bmw_serie3_40.jpg;0
../data/modeling/renault/renault_megane_bleue_41.jpg;1
../data/modeling/renault/renault_espace_gris_7.jpg;1
../data/modeling/other/00706.jpg;0
../data/modeling/other/05937.jpg;0
../data/modeling/renault/renault_wind_bleu_14.jpg;1
../data/modeling/renault/renault_twingo_gt_2.jpg;1
../data/modeling/renault/renault_scenic_jaune_7.jpg;1
../data/modeling/renault/renault_espace_initial_49.jpg;1
../data/modeling/other/audi_a3_26.jpg;0
../data/modeling/other/07339.jpg;0
../data/modeling/other/00007.jpg;0
../data/modeling/other/08059.jpg;0
../data/modeling/renault/renault_scenic_jaune_11.jpg;1
../data/modeling/renault/renault_koleos_gris_68.jpg;1
../data/modeling/other/00583.jpg;0
../data/modeling/other/07695.jpg;0
../data/modeling/renault/renault_koleos_blanc_3.jpg;1
../data/modeling/other/citroen_c3_50.jpg;0
../data/modeling/renault/renault_captur_bleu_64.jpg;1
../data/modeling/other/07203.jpg;0
../data/modeling/renault/renault_clio_trophy_19.jpg;1
../data/modeling/other/mercredes_formula1_car_25.jpg;0
../data/modeling/other/range_rover_53.jpg;0
../data/modeling/other/06303.jpg;0
../data/modeling/other/05018.jpg;0
../data/modeling/renault/renault_twingo_gt_43.jpg;1
../data/modeling/other/07276.jpg;0
../data/modeling/other/00440.jpg;0
../data/modeling/renault/renault_talisman_gris_34.jpg;1
../data/modeling/renault/renault_scenic_gris_7.jpg;1
../data/modeling/other/toyota_yaris_14.jpg;0
../data/modeling/other/05681.jpg;0
../data/modeling/renault/renault_twingo_rs_59.jpg;1
../data/modeling/other/vw_passat_51.jpg;0
../data/modeling/other/fiat_500_33.jpg;0
../data/modeling/renault/renault_r5_19.jpg;1
../data/modeling/other/06206.jpg;0
../data/modeling/other/05980.jpg;0
../data/modeling/renault/renault_megane_bleue_27.jpg;1
../data/modeling/renault/renault_koleos_noir_58.jpg;1
../data/modeling/other/05313.jpg;0
../data/modeling/other/07018.jpg;0
../data/modeling/other/07335.jpg;0
../data/modeling/other/06612.jpg;0
../data/modeling/renault/renault_koleos_blanc_19.jpg;1
../data/modeling/renault/renault_wind_rouge_9.jpg;1
../data/modeling/renault/renault_talisman_break_12.jpg;1
../data/modeling/other/07484.jpg;0
../data/modeling/other/07915.jpg;0
../data/modeling/other/vw_polo_65.jpg;0
../data/modeling/renault/renault_laguna_2.jpg;1
../data/modeling/renault/renault_clio_rouge_27.jpg;1
../data/modeling/renault/renault_logan_gris_95.jpg;1
../data/modeling/renault/renault_scenic_gris_20.jpg;1
../data/modeling/renault/renault_clio_65.jpg;1
../data/modeling/other/toyota_yaris_54.jpg;0
../data/modeling/renault/renault_megane_bleue_50.jpg;1
../data/modeling/other/05584.jpg;0
../data/modeling/renault/renault_logan_gris_79.jpg;1
../data/modeling/other/07268.jpg;0
../data/modeling/other/06451.jpg;0
../data/modeling/renault/renault_clio_trophy_25.jpg;1
../data/modeling/renault/renault_wind_noir_83.jpg;1
../data/modeling/other/08054.jpg;0
../data/modeling/other/peugeot_108_19.jpg;0
../data/modeling/other/07955.jpg;0
../data/modeling/renault/renault_rs16_58.jpg;1
../data/modeling/other/vw_golf_25.jpg;0
../data/modeling/other/07609.jpg;0
../data/modeling/renault/renault_pulse_noir_20.jpg;1
../data/modeling/renault/renault_captur_6.jpg;1
../data/modeling/other/citroen_ds3_23.jpg;0
../data/modeling/renault/renault_rs01_17.jpg;1
../data/modeling/other/vw_golf_67.jpg;0
../data/modeling/renault/renault_rs16_26.jpg;1
../data/modeling/other/05228.jpg;0
../data/modeling/other/06108.jpg;0
../data/modeling/renault/renault_fluence_noir_85.jpg;1
../data/modeling/renault/renault_logan_48.jpg;1
../data/modeling/other/00412.jpg;0
../data/modeling/other/06033.jpg;0
../data/modeling/renault/renault_kangoo_75.jpg;1
../data/modeling/other/toyota_yaris_23.jpg;0
../data/modeling/renault/renault_zoe_45.jpg;1
../data/modeling/renault/renault_megane_5.jpg;1
../data/modeling/other/bmw_serie3_30.jpg;0
../data/modeling/other/bmw_serie3_7.jpg;0
../data/modeling/renault/renault_espace_noir_8.jpg;1
../data/modeling/renault/renault_pulse_jaune_64.jpg;1
../data/modeling/other/bmw_x4_22.jpg;0
../data/modeling/other/05247.jpg;0
../data/modeling/renault/renault_clio_rs_47.jpg;1
../data/modeling/other/06291.jpg;0
../data/modeling/other/bmw_x4_54.jpg;0
../data/modeling/other/05915.jpg;0
../data/modeling/other/07913.jpg;0
../data/modeling/other/07784.jpg;0
../data/modeling/other/06264.jpg;0
../data/modeling/other/07776.jpg;0
../data/modeling/renault/renault_clio_rouge_35.jpg;1
../data/modeling/other/07942.jpg;0
../data/modeling/other/02886.jpg;0
../data/modeling/other/ford_focus_53.jpg;0
../data/modeling/renault/renault_megane_bleue_51.jpg;1
../data/modeling/renault/renault_wing_sport_77.jpg;1
../data/modeling/renault/renault_espace_initial_47.jpg;1
../data/modeling/renault/renault_alaskan_31.jpg;1
../data/modeling/renault/renault_rs01_59.jpg;1
../data/modeling/renault/renault_fluence_rouge_20.jpg;1
../data/modeling/renault/renault_kadjar_37.jpg;1
../data/modeling/other/fiat_500_72.jpg;0
../data/modeling/other/05669.jpg;0
../data/modeling/other/05717.jpg;0
../data/modeling/other/peugeot_5008_37.jpg;0
../data/modeling/renault/renault_pulse_26.jpg;1
../data/modeling/renault/renault_kadjar_15.jpg;1
../data/modeling/other/05242.jpg;0
../data/modeling/renault/renault_f1_88.jpg;1
../data/modeling/other/audi_a8_26.jpg;0
../data/modeling/other/07851.jpg;0
../data/modeling/other/00581.jpg;0
../data/modeling/other/07231.jpg;0
../data/modeling/other/05225.jpg;0
../data/modeling/renault/renault_koleos_blanc_22.jpg;1
../data/modeling/renault/renault_wind_noir_58.jpg;1
../data/modeling/renault/renault_wind_rouge_17.jpg;1
../data/modeling/renault/renault_captur_rouge_8.jpg;1
../data/modeling/renault/renault_kangoo_jaune_58.jpg;1
../data/modeling/other/08116.jpg;0
../data/modeling/other/audi_a3_24.jpg;0
../data/modeling/renault/renault_talisman_break_27.jpg;1
../data/modeling/renault/renault_clio_rs_54.jpg;1
../data/modeling/other/06795.jpg;0
../data/modeling/other/07708.jpg;0
../data/modeling/other/07645.jpg;0
../data/modeling/renault/renault_clio_rouge_66.jpg;1
../data/modeling/renault/renault_alaskan_30.jpg;1
../data/modeling/renault/renault_clio_72.jpg;1
../data/modeling/other/fiat_500_49.jpg;0
../data/modeling/other/audi_a8_75.jpg;0
../data/modeling/other/07551.jpg;0
../data/modeling/renault/renault_megane_29.jpg;1
../data/modeling/other/07122.jpg;0
../data/modeling/other/05673.jpg;0
../data/modeling/renault/renault_megane_noir_81.jpg;1
../data/modeling/other/citroen_picasso_91.jpg;0
../data/modeling/other/07547.jpg;0
../data/modeling/renault/renault_espace_initial_37.jpg;1
../data/modeling/renault/renault_fluence_56.jpg;1
../data/modeling/other/05889.jpg;0
../data/modeling/renault/renault_megane_22.jpg;1
../data/modeling/renault/renault_wind_gris_44.jpg;1
../data/modeling/renault/renault_clio_45.jpg;1
../data/modeling/other/ford_fiesta_66.jpg;0
../data/modeling/renault/renault_twingo_gt_54.jpg;1
../data/modeling/other/fiat_500_69.jpg;0
../data/modeling/other/06586.jpg;0
../data/modeling/renault/renault_captur_gris_77.jpg;1
../data/modeling/other/08058.jpg;0
../data/modeling/other/06133.jpg;0
../data/modeling/other/06081.jpg;0
../data/modeling/other/07906.jpg;0
../data/modeling/renault/renault_kadjar_46.jpg;1
../data/modeling/renault/renault_wing_sport_71.jpg;1
../data/modeling/other/05397.jpg;0
../data/modeling/renault/renault_talisman_noir_72.jpg;1
../data/modeling/other/mercedes_class_e_17.jpg;0
../data/modeling/other/07393.jpg;0
../data/modeling/renault/renault_espace_noir_82.jpg;1
../data/modeling/other/05588.jpg;0
../data/modeling/renault/renault_rs17_4.jpg;1
../data/modeling/other/vw_passat_18.jpg;0
../data/modeling/other/07812.jpg;0
../data/modeling/other/07098.jpg;0
../data/modeling/renault/renault_laguna_gris_19.jpg;1
../data/modeling/other/05100.jpg;0
